model,dataset,score_R2,MAE,MSLE,D2_absolute_error
LinearRegression,train,0.9312777128238787,1.1877198497523427,0.01606725347191816,0.758055006220594
LinearRegression,test,0.9308891849365782,1.1888470358292182,0.016071080891919227,0.7573716883951255
LinearRegression + PowerTransformer,train,0.8878960737940108,1.5675656995293479,0.08010092479638618,0.6806783405190031
LinearRegression + PowerTransformer,test,0.887602903160026,1.566884367382517,0.07932135414008191,0.6802191559716311
Ridge alpha=1.0,train,0.9312777128235585,1.187719830302469,0.016067251142731487,0.7580550101826391
Ridge alpha=1.0,test,0.9308891846637876,1.1888470172517387,0.016071078631209816,0.757371692186549
Ridge alpha=0.1,train,0.9312777128238755,1.1877198478038964,0.01606725323890753,0.7580550066175031
Ridge alpha=0.1,test,0.9308891849093216,1.188847033971054,0.016071080665758523,0.7573716887743528
Ridge alpha=10.0,train,0.9312777127920037,1.1877196561595385,0.016067230271701927,0.7580550456565013
Ridge alpha=10.0,test,0.9308891821863926,1.1888468511207286,0.016071058374279086,0.7573717260917405
Ridge + PT alpha=1.0,train,0.8878960736275218,1.5675627720842633,0.08010180618137089,0.6806789368554902
Ridge + PT alpha=1.0,test,0.8876029290280238,1.5668811615765526,0.07932220468792406,0.6802198102351864
Ridge + PT alpha=0.1,train,0.8878960737923456,1.5675654066662987,0.08010101293078775,0.6806784001767993
Ridge + PT alpha=0.1,test,0.8876029057620739,1.5668840466976823,0.07932143919048626,0.6802192214192603
Ridge + PT alpha=10.0,train,0.8878960571788236,1.5675365844162026,0.08010974279696458,0.6806842714259171
Ridge + PT alpha=10.0,test,0.8876031466256462,1.5668525110953253,0.07932986405084058,0.6802256574280358
